alpha_rate,tau_rate,final_winrate
0.01,1.0,0.005699999999999999
0.01,15.214285714285714,0.00525
0.01,29.428571428571427,0.0055
0.01,43.64285714285714,0.0053
0.01,57.857142857142854,0.006150000000000001
0.01,72.07142857142857,0.0043
0.01,86.28571428571428,0.005849999999999999
0.01,100.5,0.0058
0.01,114.71428571428571,0.0059499999999999996
0.01,128.92857142857142,0.00465
0.01,143.14285714285714,0.0048
0.01,157.35714285714286,0.0046
0.01,171.57142857142856,0.0053
0.01,185.78571428571428,0.0062
0.01,200.0,0.005350000000000001
0.12,1.0,0.0057
0.12,15.214285714285714,0.005900000000000001
0.12,29.428571428571427,0.0048000000000000004
0.12,43.64285714285714,0.0056500000000000005
0.12,57.857142857142854,0.0052499999999999995
0.12,72.07142857142857,0.0058000000000000005
0.12,86.28571428571428,0.00485
0.12,100.5,0.005450000000000001
0.12,114.71428571428571,0.0049499999999999995
0.12,128.92857142857142,0.00425
0.12,143.14285714285714,0.00515
0.12,157.35714285714286,0.00585
0.12,171.57142857142856,0.00485
0.12,185.78571428571428,0.004200000000000001
0.12,200.0,0.005200000000000001
0.23,1.0,0.00385
0.23,15.214285714285714,0.005549999999999999
0.23,29.428571428571427,0.0052499999999999995
0.23,43.64285714285714,0.004700000000000001
0.23,57.857142857142854,0.00455
0.23,72.07142857142857,0.005050000000000001
0.23,86.28571428571428,0.0062
0.23,100.5,0.0054
0.23,114.71428571428571,0.0056500000000000005
0.23,128.92857142857142,0.00485
0.23,143.14285714285714,0.00455
0.23,157.35714285714286,0.005350000000000001
0.23,171.57142857142856,0.00565
0.23,185.78571428571428,0.004950000000000001
0.23,200.0,0.006
0.34,1.0,0.005050000000000001
0.34,15.214285714285714,0.005
0.34,29.428571428571427,0.005050000000000001
0.34,43.64285714285714,0.005
0.34,57.857142857142854,0.00515
0.34,72.07142857142857,0.00405
0.34,86.28571428571428,0.0053
0.34,100.5,0.005
0.34,114.71428571428571,0.00515
0.34,128.92857142857142,0.005
0.34,143.14285714285714,0.0053
0.34,157.35714285714286,0.0058000000000000005
0.34,171.57142857142856,0.0048000000000000004
0.34,185.78571428571428,0.005199999999999999
0.34,200.0,0.0052499999999999995
0.45,1.0,0.0063
0.45,15.214285714285714,0.0046
0.45,29.428571428571427,0.00495
0.45,43.64285714285714,0.006
0.45,57.857142857142854,0.0049
0.45,72.07142857142857,0.00525
0.45,86.28571428571428,0.005300000000000001
0.45,100.5,0.004700000000000001
0.45,114.71428571428571,0.0053
0.45,128.92857142857142,0.00485
0.45,143.14285714285714,0.00515
0.45,157.35714285714286,0.005599999999999999
0.45,171.57142857142856,0.0048
0.45,185.78571428571428,0.0054
0.45,200.0,0.00455
0.56,1.0,0.0053
0.56,15.214285714285714,0.0053
0.56,29.428571428571427,0.00545
0.56,43.64285714285714,0.0046
0.56,57.857142857142854,0.0051
0.56,72.07142857142857,0.005050000000000001
0.56,86.28571428571428,0.0058000000000000005
0.56,100.5,0.004200000000000001
0.56,114.71428571428571,0.005349999999999999
0.56,128.92857142857142,0.00575
0.56,143.14285714285714,0.00485
0.56,157.35714285714286,0.00485
0.56,171.57142857142856,0.005
0.56,185.78571428571428,0.0051
0.56,200.0,0.0054
0.67,1.0,0.004600000000000001
0.67,15.214285714285714,0.0053
0.67,29.428571428571427,0.006150000000000001
0.67,43.64285714285714,0.005
0.67,57.857142857142854,0.00455
0.67,72.07142857142857,0.00475
0.67,86.28571428571428,0.00515
0.67,100.5,0.00565
0.67,114.71428571428571,0.00505
0.67,128.92857142857142,0.005549999999999999
0.67,143.14285714285714,0.005200000000000001
0.67,157.35714285714286,0.005549999999999999
0.67,171.57142857142856,0.00505
0.67,185.78571428571428,0.005900000000000001
0.67,200.0,0.00475
0.78,1.0,0.0051
0.78,15.214285714285714,0.006
0.78,29.428571428571427,0.005200000000000001
0.78,43.64285714285714,0.005300000000000001
0.78,57.857142857142854,0.0051
0.78,72.07142857142857,0.0054
0.78,86.28571428571428,0.005449999999999999
0.78,100.5,0.00475
0.78,114.71428571428571,0.0050999999999999995
0.78,128.92857142857142,0.00555
0.78,143.14285714285714,0.0045
0.78,157.35714285714286,0.004350000000000001
0.78,171.57142857142856,0.0059499999999999996
0.78,185.78571428571428,0.0053
0.78,200.0,0.005050000000000001
0.89,1.0,0.004999999999999999
0.89,15.214285714285714,0.0050999999999999995
0.89,29.428571428571427,0.0049499999999999995
0.89,43.64285714285714,0.0043
0.89,57.857142857142854,0.0055
0.89,72.07142857142857,0.00515
0.89,86.28571428571428,0.005
0.89,100.5,0.00515
0.89,114.71428571428571,0.00485
0.89,128.92857142857142,0.005049999999999999
0.89,143.14285714285714,0.00515
0.89,157.35714285714286,0.005300000000000001
0.89,171.57142857142856,0.0054
0.89,185.78571428571428,0.00575
0.89,200.0,0.0055
1.0,1.0,0.005350000000000001
1.0,15.214285714285714,0.005050000000000001
1.0,29.428571428571427,0.0050999999999999995
1.0,43.64285714285714,0.00575
1.0,57.857142857142854,0.005450000000000001
1.0,72.07142857142857,0.0052
1.0,86.28571428571428,0.0055000000000000005
1.0,100.5,0.004450000000000001
1.0,114.71428571428571,0.00555
1.0,128.92857142857142,0.00485
1.0,143.14285714285714,0.00445
1.0,157.35714285714286,0.00465
1.0,171.57142857142856,0.00485
1.0,185.78571428571428,0.005050000000000001
1.0,200.0,0.00515
