o_win,draw,x_win
0.523,0.1375,0.3395
0.53825,0.13625,0.3255
0.5185,0.1435,0.338
0.507,0.14875,0.34425
0.534,0.138,0.328
0.51,0.15075,0.33925
0.518,0.13875,0.34325
0.532,0.13275,0.33525
0.52325,0.14,0.33675
0.50225,0.1445,0.35325
0.50825,0.15,0.34175
0.51425,0.14075,0.345
0.527,0.13125,0.34175
0.51875,0.1405,0.34075
0.5145,0.1385,0.347
0.5125,0.14875,0.33875
0.54,0.13625,0.32375
0.52525,0.14075,0.334
0.5205,0.14325,0.33625
0.5115,0.14425,0.34425
0.52575,0.136,0.33825
0.5335,0.12975,0.33675
0.529,0.14275,0.32825
0.518,0.144,0.338
0.52075,0.139,0.34025
0.53175,0.1365,0.33175
0.51325,0.13475,0.352
0.5155,0.13975,0.34475
0.519,0.141,0.34
0.5305,0.1365,0.333
0.51825,0.1425,0.33925
0.5185,0.139,0.3425
0.50775,0.15125,0.341
0.51975,0.13375,0.3465
0.51575,0.1315,0.35275
0.52425,0.13475,0.341
0.51125,0.14175,0.347
0.5235,0.128,0.3485
0.51675,0.1305,0.35275
0.52225,0.13275,0.345
0.51125,0.139,0.34975
0.51225,0.1415,0.34625
0.50775,0.1295,0.36275
0.50475,0.14025,0.355
0.49225,0.12575,0.382
0.48025,0.12275,0.397
0.439,0.13775,0.42325
0.3785,0.134,0.4875
0.3175,0.12075,0.56175
