o_win,draw,x_win
0.0175,0.0475,0.935
0.018,0.0495,0.9325
0.0155,0.05025,0.93425
0.0185,0.04425,0.93725
0.01525,0.0445,0.94025
0.021,0.04575,0.93325
0.0185,0.052,0.9295
0.01825,0.0485,0.93325
0.0195,0.05575,0.92475
0.0245,0.03575,0.93975
0.019,0.0485,0.9325
0.021,0.0545,0.9245
0.02025,0.043,0.93675
0.0185,0.05575,0.92575
0.01775,0.0525,0.92975
0.02325,0.04725,0.9295
0.0245,0.0515,0.924
0.023,0.04925,0.92775
0.01975,0.053,0.92725
0.02275,0.0535,0.92375
0.023,0.0495,0.9275
0.02575,0.04975,0.9245
0.026,0.05425,0.91975
0.02525,0.05325,0.9215
0.03225,0.0535,0.91425
0.02825,0.05175,0.92
0.02825,0.05075,0.921
0.0255,0.05125,0.92325
0.03325,0.05475,0.912
0.02625,0.0495,0.92425
0.029,0.0545,0.9165
0.03375,0.05925,0.907
0.0335,0.0565,0.91
0.034,0.053,0.913
0.03775,0.0535,0.90875
0.0445,0.05075,0.90475
0.0395,0.051,0.9095
0.047,0.059,0.894
0.0455,0.057,0.8975
0.0505,0.05025,0.89925
0.0595,0.05,0.8905
0.06025,0.05225,0.8875
0.06475,0.0535,0.88175
0.076,0.04775,0.87625
0.08175,0.05575,0.8625
0.0965,0.06675,0.83675
0.14225,0.0815,0.77625
0.19475,0.0995,0.70575
0.27175,0.11425,0.614
