o_win,draw,x_win
0.0,1.0,0.0
0.0,1.0,0.0
0.0005,0.9995,0.0
0.0,1.0,0.0
0.0005,0.9995,0.0
0.0,1.0,0.0
0.0005,0.9995,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.001,0.999,0.0
0.001,0.999,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.001,0.999,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0005,0.9995,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0005,0.9995,0.0
0.001,0.999,0.0
0.001,0.999,0.0
0.0015,0.9985,0.0
0.002,0.998,0.0
0.0015,0.9985,0.0
0.0,1.0,0.0
0.001,0.999,0.0
0.0005,0.9995,0.0
0.0005,0.9995,0.0
0.0015,0.9985,0.0
0.0025,0.9975,0.0
0.002,0.998,0.0
0.003,0.997,0.0
0.0055,0.9945,0.0
0.0045,0.9955,0.0
0.0165,0.9835,0.0
0.0215,0.9785,0.0
0.0365,0.9635,0.0
0.1435,0.8565,0.0
0.612,0.388,0.0
