alpha_rate,tau_rate,o_winrate,drawrate,x_winrate
0.1,0.1,0.0,0.006874999999999999,0.993125
0.1,0.01,0.0,0.0065,0.9935
0.1,0.001,0.0,0.00775,0.9922500000000001
0.1,0.0001,0.0,0.008,0.992
0.1,1e-05,0.0,0.007625,0.992375
0.1,1e-06,0.0,0.0062499999999999995,0.99375
0.1,1e-07,0.0,0.005875,0.994125
0.1,1e-08,0.0,0.006999999999999999,0.9930000000000001
0.1,1e-09,0.0,0.0055000000000000005,0.9945
0.1,1e-10,0.0,0.009000000000000001,0.991
0.01,0.1,0.0,0.108625,0.891375
0.01,0.01,0.0,0.14987499999999998,0.850125
0.01,0.001,0.0,0.17149999999999999,0.8285
0.01,0.0001,0.0,0.16099999999999998,0.839
0.01,1e-05,0.0,0.1795,0.8205
0.01,1e-06,0.0,0.177125,0.822875
0.01,1e-07,0.0,0.16999999999999998,0.8299999999999998
0.01,1e-08,0.0,0.1605,0.8394999999999999
0.01,1e-09,0.0,0.174875,0.825125
0.01,1e-10,0.0,0.15825,0.84175
0.001,0.1,0.0,0.9221250000000001,0.07787500000000001
0.001,0.01,0.0,0.9292499999999999,0.07075000000000001
0.001,0.001,0.0,0.9259999999999999,0.074
0.001,0.0001,0.0,0.9315,0.0685
0.001,1e-05,0.0,0.92925,0.07075000000000001
0.001,1e-06,0.0,0.9297500000000001,0.07025
0.001,1e-07,0.0,0.931375,0.068625
0.001,1e-08,0.0,0.9248749999999999,0.075125
0.001,1e-09,0.0,0.93125,0.06875
0.001,1e-10,0.0,0.9249999999999999,0.075
0.0001,0.1,0.0,0.9434999999999999,0.0565
0.0001,0.01,0.0,0.9557499999999999,0.04425000000000001
0.0001,0.001,0.0,0.95525,0.04475
0.0001,0.0001,0.0,0.9535,0.0465
0.0001,1e-05,0.0,0.9550000000000001,0.04500000000000001
0.0001,1e-06,0.0,0.953875,0.046125
0.0001,1e-07,0.0,0.9547500000000001,0.04525
0.0001,1e-08,0.0,0.9553750000000001,0.044625000000000005
0.0001,1e-09,0.0,0.9548749999999999,0.045125000000000005
0.0001,1e-10,0.0,0.957,0.04300000000000001
1e-05,0.1,0.0,0.9476249999999999,0.052375000000000005
1e-05,0.01,0.0,0.9560000000000001,0.04400000000000001
1e-05,0.001,0.0,0.956,0.044000000000000004
1e-05,0.0001,0.0,0.9585,0.04150000000000001
1e-05,1e-05,0.0,0.9575000000000001,0.04250000000000001
1e-05,1e-06,0.0,0.957125,0.04287500000000001
1e-05,1e-07,0.0,0.9567500000000001,0.04325
1e-05,1e-08,0.0,0.957375,0.04262500000000001
1e-05,1e-09,0.0,0.95675,0.04325000000000001
1e-05,1e-10,0.0,0.955875,0.04412500000000001
1e-06,0.1,0.0,0.9491250000000001,0.050875000000000004
1e-06,0.01,0.0,0.95775,0.04225000000000001
1e-06,0.001,0.0,0.9570000000000001,0.04300000000000001
1e-06,0.0001,0.0,0.9572499999999999,0.04275000000000001
1e-06,1e-05,0.0,0.9558749999999999,0.04412500000000001
1e-06,1e-06,0.0,0.95475,0.04525000000000001
1e-06,1e-07,0.0,0.9575000000000001,0.04250000000000001
1e-06,1e-08,0.0,0.9564999999999999,0.04350000000000001
1e-06,1e-09,0.0,0.95625,0.043750000000000004
1e-06,1e-10,0.0,0.9566250000000001,0.043375
1e-07,0.1,0.0,0.94625,0.053750000000000006
1e-07,0.01,0.0,0.95675,0.04325000000000001
1e-07,0.001,0.0,0.95475,0.04525
1e-07,0.0001,0.0,0.9565,0.04350000000000001
1e-07,1e-05,0.0,0.9567500000000001,0.04325000000000001
1e-07,1e-06,0.0,0.957625,0.04237500000000001
1e-07,1e-07,0.0,0.9586250000000001,0.04137500000000001
1e-07,1e-08,0.0,0.958125,0.04187500000000001
1e-07,1e-09,0.0,0.9580000000000001,0.04200000000000001
1e-07,1e-10,0.0,0.9567500000000001,0.043250000000000004
1e-08,0.1,0.0,0.947375,0.052625000000000005
1e-08,0.01,0.0,0.95425,0.04575
1e-08,0.001,0.0,0.9570000000000001,0.04300000000000001
1e-08,0.0001,0.0,0.9558749999999999,0.04412500000000001
1e-08,1e-05,0.0,0.9575000000000001,0.04250000000000001
1e-08,1e-06,0.0,0.957875,0.04212500000000001
1e-08,1e-07,0.0,0.95725,0.04275000000000001
1e-08,1e-08,0.0,0.9585,0.04150000000000001
1e-08,1e-09,0.0,0.9566250000000001,0.043375000000000004
1e-08,1e-10,0.0,0.958375,0.04162500000000001
1e-09,0.1,0.0,0.9485,0.051500000000000004
1e-09,0.01,0.0,0.9548749999999999,0.045125000000000005
1e-09,0.001,0.0,0.9575,0.04250000000000001
1e-09,0.0001,0.0,0.9566250000000001,0.043375000000000004
1e-09,1e-05,0.0,0.957,0.04300000000000001
1e-09,1e-06,0.0,0.9564999999999999,0.04350000000000001
1e-09,1e-07,0.0,0.957125,0.04287500000000001
