alpha_rate,tau_rate,o_winrate,drawrate,x_winrate
0.1,0.1,0.2865,0.12775,0.58575
0.1,0.01,0.286875,0.1285,0.584625
0.1,0.001,0.287,0.1255,0.5875
0.1,0.0001,0.29325,0.129125,0.5776249999999999
0.1,1e-05,0.286,0.12025,0.59375
0.1,1e-06,0.27975,0.123375,0.596875
0.1,1e-07,0.280625,0.13125,0.588125
0.1,1e-08,0.2885,0.11887500000000001,0.592625
0.1,1e-09,0.2895,0.12325,0.5872499999999999
0.1,1e-10,0.293,0.12875,0.57825
0.01,0.1,0.283,0.12025,0.59675
0.01,0.01,0.280625,0.127125,0.59225
0.01,0.001,0.27237500000000003,0.124625,0.6030000000000001
0.01,0.0001,0.27749999999999997,0.121625,0.600875
0.01,1e-05,0.272625,0.12825,0.5991250000000001
0.01,1e-06,0.27525,0.12637500000000002,0.598375
0.01,1e-07,0.28175,0.126125,0.592125
0.01,1e-08,0.276875,0.12225,0.600875
0.01,1e-09,0.292875,0.123125,0.5840000000000001
0.01,1e-10,0.279625,0.12537500000000001,0.595
0.001,0.1,0.202375,0.09687499999999999,0.70075
0.001,0.01,0.10325,0.04775,0.849
0.001,0.001,0.146625,0.07725,0.776125
0.001,0.0001,0.059375,0.047,0.893625
0.001,1e-05,0.135625,0.066125,0.79825
0.001,1e-06,0.1765,0.097,0.7265
0.001,1e-07,0.163375,0.0945,0.7421249999999999
0.001,1e-08,0.10925,0.048999999999999995,0.84175
0.001,1e-09,0.0745,0.048875,0.8766250000000001
0.001,1e-10,0.183125,0.09025,0.7266250000000001
0.0001,0.1,0.057624999999999996,0.038000000000000006,0.9043749999999999
0.0001,0.01,0.0495,0.044500000000000005,0.906
0.0001,0.001,0.048875,0.046375,0.90475
0.0001,0.0001,0.0475,0.043500000000000004,0.9089999999999999
0.0001,1e-05,0.056875,0.041999999999999996,0.901125
0.0001,1e-06,0.046,0.03862499999999999,0.915375
0.0001,1e-07,0.04175,0.045,0.91325
0.0001,1e-08,0.039875,0.033874999999999995,0.92625
0.0001,1e-09,0.045625000000000006,0.059500000000000004,0.894875
0.0001,1e-10,0.037875000000000006,0.036500000000000005,0.9256249999999999
1e-05,0.1,0.059625000000000004,0.046625,0.89375
1e-05,0.01,0.06625,0.04675,0.887
1e-05,0.001,0.062875,0.05425,0.882875
1e-05,0.0001,0.046125,0.049875,0.9039999999999999
1e-05,1e-05,0.053375000000000006,0.042124999999999996,0.9045000000000001
1e-05,1e-06,0.057375,0.03675,0.905875
1e-05,1e-07,0.035750000000000004,0.040874999999999995,0.9233750000000001
1e-05,1e-08,0.056875,0.039,0.904125
1e-05,1e-09,0.042624999999999996,0.03625,0.921125
1e-05,1e-10,0.04825000000000001,0.038,0.91375
1e-06,0.1,0.068375,0.05325,0.878375
1e-06,0.01,0.056875,0.04,0.903125
1e-06,0.001,0.046125000000000006,0.037500000000000006,0.9163749999999999
1e-06,0.0001,0.0665,0.043375,0.890125
1e-06,1e-05,0.0485,0.03837499999999999,0.913125
1e-06,1e-06,0.052875,0.029,0.9181250000000001
1e-06,1e-07,0.05825,0.052125,0.889625
1e-06,1e-08,0.040375,0.034125,0.9255000000000001
1e-06,1e-09,0.046875,0.042125,0.911
1e-06,1e-10,0.043250000000000004,0.043375,0.913375
1e-07,0.1,0.048375,0.040499999999999994,0.911125
1e-07,0.01,0.030875000000000003,0.0305,0.9386249999999999
1e-07,0.001,0.043875000000000004,0.033875,0.92225
1e-07,0.0001,0.064,0.042499999999999996,0.8935
1e-07,1e-05,0.044375,0.032875,0.9227500000000001
1e-07,1e-06,0.052,0.03775,0.91025
1e-07,1e-07,0.052250000000000005,0.044875,0.902875
1e-07,1e-08,0.044375000000000005,0.04575,0.909875
1e-07,1e-09,0.044250000000000005,0.032749999999999994,0.923
1e-07,1e-10,0.045750000000000006,0.04050000000000001,0.9137500000000001
1e-08,0.1,0.05637500000000001,0.049749999999999996,0.893875
1e-08,0.01,0.0345,0.029625,0.935875
1e-08,0.001,0.056375,0.042749999999999996,0.9008749999999999
1e-08,0.0001,0.04225,0.040875,0.916875
1e-08,1e-05,0.03862500000000001,0.03075,0.930625
1e-08,1e-06,0.050125,0.044375000000000005,0.9055
1e-08,1e-07,0.044125000000000004,0.03575,0.920125
1e-08,1e-08,0.052,0.034875,0.913125
1e-08,1e-09,0.038375,0.035375000000000004,0.9262499999999999
1e-08,1e-10,0.05575,0.0345,0.9097500000000001
1e-09,0.1,0.063875,0.043,0.893125
1e-09,0.01,0.047375,0.032,0.920625
1e-09,0.001,0.042875,0.03475,0.922375
1e-09,0.0001,0.045375000000000006,0.033875,0.92075
1e-09,1e-05,0.03475,0.0325,0.93275
1e-09,1e-06,0.052500000000000005,0.046625,0.9008750000000001
1e-09,1e-07,0.04687500000000001,0.038375,0.91475
1e-09,1e-08,0.063125,0.03975,0.8971250000000001
1e-09,1e-09,0.05125,0.0345,0.91425
1e-09,1e-10,0.039375,0.037625000000000006,0.923
1e-10,0.1,0.061250000000000006,0.038625,0.900125
1e-10,0.01,0.045375000000000006,0.040874999999999995,0.9137500000000001
1e-10,0.001,0.046000000000000006,0.035625,0.918375
1e-10,0.0001,0.047875,0.047625,0.9045
1e-10,1e-05,0.046000000000000006,0.032375,0.921625
1e-10,1e-06,0.052125000000000005,0.03725,0.910625
1e-10,1e-07,0.05787500000000001,0.042,0.9001250000000001
1e-10,1e-08,0.046125,0.032875,0.9209999999999999
1e-10,1e-09,0.052125,0.03925,0.908625
1e-10,1e-10,0.059,0.0335,0.9075
