o_win,draw,x_win
0.0,0.98,0.02
0.0,0.9825,0.0175
0.0,0.983,0.017
0.0,0.975,0.025
0.0,0.9835,0.0165
0.0,0.9765,0.0235
0.0,0.9695,0.0305
0.0,0.9725,0.0275
0.0,0.9775,0.0225
0.0,0.9735,0.0265
0.0,0.9625,0.0375
0.0,0.968,0.032
0.0,0.955,0.045
0.0,0.9635,0.0365
0.0,0.951,0.049
0.0,0.9465,0.0535
0.0,0.9425,0.0575
0.0,0.946,0.054
0.0,0.9395,0.0605
0.0,0.936,0.064
0.0,0.9215,0.0785
0.0,0.929,0.071
0.0,0.91,0.09
0.0,0.884,0.116
0.0,0.891,0.109
0.0,0.859,0.141
0.0,0.852,0.148
0.0,0.8345,0.1655
0.0,0.8075,0.1925
0.0,0.791,0.209
0.0,0.753,0.247
0.0,0.727,0.273
0.0,0.692,0.308
0.0,0.6405,0.3595
0.0,0.598,0.402
0.0,0.519,0.481
0.0,0.4355,0.5645
0.0,0.385,0.615
0.0,0.302,0.698
0.0,0.2215,0.7785
0.0,0.1665,0.8335
0.0,0.112,0.888
0.0,0.0635,0.9365
0.0,0.04,0.96
0.0,0.02,0.98
0.0,0.0115,0.9885
0.0,0.005,0.995
0.0,0.009,0.991
0.0,0.0065,0.9935
