o_win,draw,x_win
0.52,0.145,0.335
0.52475,0.142,0.33325
0.52325,0.14225,0.3345
0.51425,0.1385,0.34725
0.527,0.13875,0.33425
0.523,0.1375,0.3395
0.5215,0.142,0.3365
0.51875,0.14675,0.3345
0.527,0.13775,0.33525
0.52075,0.134,0.34525
0.5245,0.1365,0.339
0.51325,0.13775,0.349
0.52075,0.13325,0.346
0.50225,0.14075,0.357
0.513,0.13625,0.35075
0.52,0.13975,0.34025
0.51975,0.13925,0.341
0.5195,0.13475,0.34575
0.53425,0.135,0.33075
0.5195,0.135,0.3455
0.521,0.139,0.34
0.52275,0.1375,0.33975
0.51325,0.13825,0.3485
0.514,0.14125,0.34475
0.52425,0.14625,0.3295
0.52675,0.136,0.33725
0.511,0.135,0.354
0.5225,0.14175,0.33575
0.50975,0.134,0.35625
0.52375,0.1325,0.34375
0.51775,0.12825,0.354
0.5035,0.139,0.3575
0.53225,0.1385,0.32925
0.52025,0.13275,0.347
0.50725,0.134,0.35875
0.51775,0.135,0.34725
0.5325,0.1285,0.339
0.519,0.134,0.347
0.51675,0.12875,0.3545
0.52225,0.13,0.34775
0.50125,0.1375,0.36125
0.51525,0.1175,0.36725
0.5,0.13425,0.36575
0.48925,0.12225,0.3885
0.45425,0.13875,0.407
0.4335,0.12275,0.44375
0.389,0.137,0.474
0.353,0.1285,0.5185
0.28575,0.1315,0.58275
