o_win,draw,x_win
0.25525,0.74475,0.0
0.2595,0.7405,0.0
0.26475,0.73525,0.0
0.2745,0.7255,0.0
0.26525,0.73475,0.0
0.28475,0.71525,0.0
0.2835,0.7165,0.0
0.291,0.709,0.0
0.2935,0.7065,0.0
0.304,0.696,0.0
0.30275,0.69725,0.0
0.3115,0.6885,0.0
0.30725,0.69275,0.0
0.32375,0.67625,0.0
0.31375,0.68625,0.0
0.326,0.674,0.0
0.33075,0.66925,0.0
0.3365,0.6635,0.0
0.3485,0.6515,0.0
0.363,0.637,0.0
0.3625,0.6375,0.0
0.36825,0.63175,0.0
0.38525,0.61475,0.0
0.3815,0.6185,0.0
0.39875,0.60125,0.0
0.40875,0.59125,0.0
0.413,0.587,0.0
0.4205,0.5795,0.0
0.42475,0.57525,0.0
0.448,0.552,0.0
0.455,0.545,0.0
0.4675,0.5325,0.0
0.482,0.518,0.0
0.49825,0.50175,0.0
0.50325,0.49675,0.0
0.5185,0.4815,0.0
0.5195,0.4805,0.0
0.53825,0.46175,0.0
0.5635,0.4365,0.0
0.5715,0.4285,0.0
0.5935,0.4065,0.0
0.6105,0.3895,0.0
0.618,0.382,0.0
0.654,0.346,0.0
0.68125,0.31875,0.0
0.704,0.296,0.0
0.74225,0.25775,0.0
0.7575,0.2425,0.0
0.78925,0.21075,0.0
