o_win,draw,x_win
0.007,0.05025,0.94275
0.009,0.0525,0.9385
0.0075,0.047,0.9455
0.00925,0.04125,0.9495
0.00975,0.04775,0.9425
0.01,0.0475,0.9425
0.00575,0.04925,0.945
0.0105,0.051,0.9385
0.01,0.05525,0.93475
0.00875,0.048,0.94325
0.00975,0.05475,0.9355
0.0085,0.053,0.9385
0.0075,0.04675,0.94575
0.008,0.0495,0.9425
0.0075,0.054,0.9385
0.00775,0.05125,0.941
0.007,0.0495,0.9435
0.00925,0.05275,0.938
0.00975,0.0565,0.93375
0.01225,0.0525,0.93525
0.01,0.0545,0.9355
0.00975,0.051,0.93925
0.00975,0.0465,0.94375
0.00775,0.05225,0.94
0.011,0.056,0.933
0.0125,0.05225,0.93525
0.0145,0.05275,0.93275
0.01075,0.05875,0.9305
0.0135,0.0555,0.931
0.013,0.05775,0.92925
0.01725,0.05225,0.9305
0.01175,0.05325,0.935
0.0155,0.05325,0.93125
0.01575,0.0585,0.92575
0.016,0.05675,0.92725
0.01775,0.0555,0.92675
0.02175,0.054,0.92425
0.02,0.0615,0.9185
0.0305,0.06025,0.90925
0.0295,0.067,0.9035
0.031,0.065,0.904
0.0345,0.0705,0.895
0.04575,0.07275,0.8815
0.06075,0.06675,0.8725
0.06975,0.077,0.85325
0.09275,0.0745,0.83275
0.114,0.08525,0.80075
0.155,0.093,0.752
0.2525,0.118,0.6295
